,keyword,id,year,title,src,preds
0,data structure,2952535963,2014,HTSeq - A Python framework to work with high-throughput sequencing data,https://www.biorxiv.org/content/early/2014/08/19/002824.full.pdf,1
1,data structure,2134526812,2015,HTSeqÂa Python framework to work with high-throughput sequencing data,http://dblp.uni-trier.de/db/journals/bioinformatics/bioinformatics31.html#AndersPH15,1
2,data structure,2146292423,2011,The NumPy Array: A Structure for Efficient Numerical Computation,https://arxiv.org/pdf/1102.1523,1
3,data structure,7746136,2014,Edge Boxes: Locating Object Proposals from Edges,http://dx.doi.org/10.1007/978-3-319-10602-1_26,1
8,data structure,2906043559,2016,Eyeriss: A Spatial Architecture for Energy-Efficient Dataflow for Convolutional Neural Networks,https://dspace.mit.edu/handle/1721.1/102369,1
11,data structure,1993962865,2013,"Sparse Subspace Clustering: Algorithm, Theory, and Applications",http://dx.doi.org/10.1109/TPAMI.2013.57,1
12,data structure,2950898568,2016,Gated Graph Sequence Neural Networks.,http://dblp.uni-trier.de/db/conf/iclr/iclr2016.html#LiTBZ15,1
13,data structure,2244807774,2016,Gated Graph Sequence Neural Networks,https://www.microsoft.com/en-us/research/video/gated-graph-sequence-neural-networks/,1
17,data structure,2131478115,2013,Software for computing and annotating genomic ranges.,http://dash.harvard.edu/handle/1/11855726?show=full,1
18,data structure,68132019,2014,A semantic matching energy function for learning with multi-relational data,http://dx.doi.org/10.1007/s10994-013-5363-6,1
30,data structure,2113637091,2011,Mnemosyne: lightweight persistent memory,http://esos.hanyang.ac.kr/files/courseware/graduate/System_software/mnemosyne.pdf,1
31,data structure,2998702515,2021,Billion-Scale Similarity Search with GPUs,https://arxiv.org/pdf/1702.08734,1
33,data structure,2109991971,2015,"TetGen, a Delaunay-Based Quality Tetrahedral Mesh Generator",https://dblp.uni-trier.de/db/journals/toms/toms41.html#Si15,1
34,data structure,2109042184,2012,DEAP: evolutionary algorithms made easy,http://vision.gel.ulaval.ca/~fmdrainville/fortin-2012-jmlr.pdf,1
37,data structure,1790844860,2011,Use of network information base structure to establish communication between applications,http://www.freepatentsonline.com/y2013/0060922.html,1
40,data structure,2918342466,2019,Fast Graph Representation Learning with PyTorch Geometric,http://dblp.uni-trier.de/db/journals/corr/corr1903.html#abs-1903-02428,1
42,data structure,90568776,2019,PETSc Users Manual,https://ora.ox.ac.uk/objects/uuid:fa2b9e7c-1c58-429c-90fd-f780a3c3dc7d,1
43,data structure,2099753358,2005,Algorithms and data structures for flash memories,http://csl.skku.edu/uploads/ECE5658M10/flash-cs05.pdf,1
